Unique_idx,price
15544,764000
17454,255000
21548,920000
3427,819900
8809,300000
3294,650000
275,354000
8736,695000
6161,750000
19832,462000
17232,359000
1305,473000
12702,530000
12717,367300
17327,740000
8196,750000
13,319000
13412,562000
16484,546000
14761,465000
1675,263500
17478,635000
19226,1060000
8083,424900
17237,650000
18122,560000
19836,300000
10046,315000
13341,380000
8040,412000
18568,942000
19398,500000
13790,205000
19649,1170000
16718,400000
19,275000
11249,210500
4122,290000
9632,547000
5768,565000
1903,270000
19629,770000
17331,540000
12448,304000
5014,800000
9598,307000
6604,605500
12280,408000
19245,530000
20627,359800
13888,339000
16804,2795000
16254,227000
16196,510000
5816,300000
12096,880000
17180,760000
11768,567000
1428,810000
3401,319900
2741,625000
17958,920000
4988,575000
3286,205000
19771,580000
6775,707900
21026,388000
9384,346000
19776,389517
9551,285000
20399,1078000
8520,575000
14833,435000
17846,603000
21321,1135000
15430,595000
8353,685900
6227,219000
17876,495000
9390,894400
20086,649000
219,364000
20944,905000
13620,401000
13354,230000
9692,320000
17429,470000
20640,790500
13415,195000
3423,650000
12103,595000
18668,435000
17598,175000
20321,290000
15573,505000
2011,265000
1405,495000
13825,525000
8420,735000
6240,1050000
15842,455000
8347,428000
7182,425000
6197,595000
20773,395000
17016,802541
12804,350000
2684,275000
19631,275000
17599,250000
5879,225000
10654,325000
1901,420000
19138,340000
20392,750000
16406,439000
18137,446000
5914,500000
14575,165000
11871,1488000
13285,575000
13490,440000
21165,599000
15718,455000
352,380000
15278,760000
16543,313200
6454,450000
18327,1285000
16864,387500
5789,371000
18346,625000
694,715000
1955,620000
8249,200000
7019,307000
16466,612500
7962,460000
938,266490
14560,338500
18703,692500
14676,301000
14925,601000
17633,585000
21399,795000
14098,440000
16636,490000
13646,558000
4102,170000
9465,361500
2525,550000
7275,404000
12445,530000
14599,537000
6247,322000
484,920000
8705,1305000
21233,436472
11675,347500
5531,432500
7355,257000
4163,172000
4933,343888
5061,460000
9941,425000
16990,300000
3309,399900
6086,295000
9802,449000
290,530000
12353,310000
14264,530000
11680,930000
15151,510000
596,375000
6714,2350000
16869,622000
9958,530000
7529,525000
20906,299000
20809,915000
7540,410000
6859,407000
8130,375000
7921,626000
554,426000
11271,775000
9944,645000
18972,464000
12338,415000
2575,680000
16502,293000
1637,402000
516,322000
10686,320000
8928,1400000
4771,699000
17969,400000
20358,500000
8011,550000
17087,1400000
8505,270000
19669,256950
14415,635000
19184,645000
12254,850000
3672,700000
6203,655000
6817,700000
14871,459000
1090,843000
16329,265000
3964,292500
18495,752888
20995,461000
6228,389000
20396,570000
11869,552500
4088,657044
18853,522250
7463,665000
19502,380000
20509,550000
19323,980000
16015,710000
4193,348000
565,394000
17611,383000
8599,625000
559,279000
3402,100000
9425,605000
1295,483945
16181,320000
21286,305000
6551,420000
5697,545000
20691,505000
19185,306500
1225,185000
15675,485000
9063,895000
7787,290000
8077,460000
7296,432000
19066,548000
14084,450000
20647,430000
4030,525000
4829,320000
2609,543000
7509,304000
12928,458000
2862,400000
8838,830000
10776,800000
13382,450000
21003,469000
5155,590000
15376,1169000
6100,499000
9071,254000
15919,330000
6423,285000
8146,650000
20427,288250
19149,975000
11668,555000
4674,2945000
1174,925000
18734,500000
3925,610000
10683,1600000
18924,850000
6640,400000
5734,265000
17536,215500
5042,403950
2220,180000
4204,646000
13122,379000
10283,1060000
2349,667500
3137,705000
14544,349950
18246,421000
2675,295000
811,390000
17181,387846
15971,507500
16705,800000
1480,765000
397,196000
8155,680000
3656,225000
9355,283000
10057,350000
13373,430000
3370,440000
300,1565000
10676,280000
20789,499990
16779,616000
4322,365000
8996,900000
3625,425000
20467,850000
14503,733000
7244,408000
2447,315000
8207,525000
17892,220000
3851,397500
33,672000
8339,781000
989,500000
20915,306000
20674,949990
8521,699900
6215,344900
13299,545000
13760,595000
5815,475000
7666,312000
9157,851500
14315,220000
12364,1050000
13651,313000
6364,348000
17207,599000
153,1200000
4646,395000
7939,419950
18903,403950
506,545000
8027,415000
16036,645000
17419,179000
19593,225000
17131,260000
10729,551100
8486,331000
18638,465000
14113,220000
438,549000
11944,915000
510,579000
18397,276500
7693,659000
7673,790000
15898,355000
18688,475000
2979,295000
11826,428000
15496,421000
7832,525000
12440,710000
21225,635000
2952,230000
1247,1047000
17371,710000
813,695000
3971,665000
9488,550000
9489,400000
13873,485000
7227,505000
13892,378000
8419,277554
9971,183750
19378,290000
13573,1240000
16316,305000
16638,450000
14096,1600000
18447,699950
13138,300000
11290,557000
11060,597400
13503,387000
16126,762400
19452,75000
9873,750000
14440,290000
10332,310000
16607,500000
1398,585000
1289,398000
9736,220000
10457,1061604
18984,815000
10814,487000
8744,475000
4982,425000
16321,379770
1596,267500
4714,765000
8645,336500
2401,410000
20199,333000
15190,360000
21432,820000
11471,830000
10144,245000
13949,1015000
1638,400000
12004,670000
13725,655000
1300,550000
13746,335000
5717,385000
11425,350000
6958,193000
20628,354901
20956,614000
14952,240000
20612,343000
10517,300000
8468,250000
10525,1735000
18317,550000
19234,378000
227,269950
15212,383001
18600,240000
8214,320000
1850,362500
6039,650000
10255,254000
10156,369950
9173,252000
13269,292000
16889,1205000
6396,177000
12677,405000
7651,510000
3315,394000
15016,275000
21231,436472
8665,631500
4115,680000
21222,352900
5232,432500
7322,530000
10030,853800
6113,450000
9053,605000
11447,549000
3142,222000
4839,469000
19607,495000
7603,416000
13073,632000
9017,229000
10329,895990
15045,375000
20227,327000
14238,320000
20750,343000
5018,549000
4137,425000
6804,465000
19701,500000
2372,275000
5692,260000
246,736500
10897,500000
10860,335000
16286,440000
21189,555000
11408,568000
6610,424000
8715,445000
21124,270000
10161,740000
21030,660000
4799,320000
8864,258000
20336,399440
3471,344200
12812,700000
6603,1017000
10893,280000
4258,236000
18525,580000
20407,900000
19304,175000
20638,263000
1475,515000
4043,520000
15904,680000
4203,155000
15286,900000
110,572000
10359,285000
16872,314950
3661,154950
12518,369950
16417,625000
9454,211000
3058,615000
14715,335000
18581,244000
2124,775000
551,1356925
415,599000
21337,342000
11594,645000
7494,610000
9479,163250
15389,580000
19289,625000
1892,244000
12301,738500
3198,280500
15135,1013050
14480,475000
9973,265000
11480,407450
7364,1650000
8887,690000
11986,385000
10728,680000
18446,275000
21486,800000
2366,762000
15155,450000
12793,320000
1998,550000
2713,1140000
2463,265000
21149,1050000
9660,645000
4423,275000
8507,450000
608,215000
19597,199950
4330,301500
20135,272000
918,205000
837,430000
13689,500000
3891,975000
1910,260000
12511,384950
2403,479000
15416,345000
183,220000
9681,485000
20497,598950
21498,474800
6366,677790
3764,425000
14010,265000
891,675000
5844,310000
10159,412000
2293,500000
9880,512000
9426,232603
5809,570000
1603,615000
15557,250000
7012,200000
6811,275000
8852,225000
10853,600000
14953,1815000
8732,350000
221,279000
15497,507500
19298,675000
10888,417000
3136,440000
10557,360000
1916,525000
44,249950
5846,545000
16420,365000
14912,525000
2072,185000
2794,815000
20401,409316
14949,340000
6528,539950
6068,1095000
5240,450000
18238,615000
2360,316000
17094,855000
20779,380000
18093,451000
3774,453500
2682,652450
13901,365500
15976,225000
14873,725000
6135,688000
9503,500000
14862,265000
8620,418900
4120,550000
19122,249900
8221,445000
625,205425
16790,364900
1522,330000
2811,963990
14314,350000
16372,810000
16401,699000
1953,405000
16708,525000
16937,510000
5496,712000
3419,415000
15745,960000
1181,335000
7878,175000
20438,519000
3231,920000
2798,429800
12580,290000
16184,1145000
16419,625000
18759,579000
6269,550700
16475,398000
10206,672500
20517,290000
5398,475000
13691,390000
19419,775000
10040,1200000
20796,234000
11091,285000
3607,580000
7083,615000
19333,540000
14616,380000
14562,332000
11640,390000
1350,555000
6502,280000
17885,700000
10351,500000
20070,436000
1808,542950
5198,607000
12026,575000
13987,422500
12714,285000
19260,959900
1988,625000
5645,698000
1828,590000
7839,335000
19511,465000
17657,550000
1385,565000
2230,409000
5190,810000
4173,449228
2590,437500
13508,725000
21040,3345000
11904,459500
14151,940000
3869,1190000
2820,245000
13117,285000
6327,635000
11360,183000
20919,330000
11355,565000
1883,303000
7569,589000
10468,1442500
741,280000
21077,485500
15361,421000
5962,1010800
3484,590000
6770,1750000
19255,1200000
18742,260000
9264,377000
4368,537000
749,350000
9793,711000
9417,690000
6828,603000
10446,2890000
391,462000
12461,285000
2999,395000
3106,494000
5388,1265000
12782,432000
16653,280000
8932,333000
8708,356000
6619,580000
4668,207100
1070,500000
8801,1020000
19568,720000
11330,555000
21592,675000
17422,294700
11419,230000
15162,700000
11457,450000
168,865000
231,540000
13394,355000
18716,960000
72,456000
11531,780000
6691,937500
20301,753000
2802,243000
3525,280000
19925,229800
12478,650000
12354,475200
18270,150000
7739,575000
2038,330000
18066,485000
12831,399000
5632,550000
10134,528000
6632,320000
1362,765000
3833,450000
3930,160000
8691,435000
1732,1810000
12716,542000
11211,360000
12370,3300000
19741,580000
14126,520000
8230,425000
10939,315000
6847,599000
21037,309000
21160,300000
10264,1105000
2711,305000
13094,447000
19563,188000
8893,491500
20295,2900000
5623,535000
12635,311750
17264,190500
2907,780000
18756,625000
10458,720000
82,330000
5952,395000
4414,261000
4909,510000
17018,822000
15617,510000
5455,750000
11726,325500
15695,550000
17762,245000
9765,417000
13917,625000
21453,345000
20707,320000
20014,491000
10840,640000
14428,1200000
14518,441500
4325,390000
11684,515000
19056,570000
8005,840000
4871,406550
7932,745000
15594,1072500
14917,410000
8942,424950
8421,245000
8449,571000
92,240000
13697,805000
324,240500
20437,342000
14651,322000
20012,579000
13828,440000
10227,136500
15103,460000
13279,590000
702,425000
2085,3640900
13933,335000
1841,898000
12933,385000
17283,405100
20157,1300000
7533,245000
875,799200
4390,280000
18861,905000
17979,572000
343,275000
2404,625000
7985,900000
4904,272500
16478,625000
4722,335000
4835,219900
1026,180000
4760,975000
19738,360000
8464,435000
3719,299000
9767,460000
7080,517500
14895,220000
11910,720000
7648,286000
13265,229000
12664,269000
12404,373000
2984,1325000
19256,525000
20126,928990
9916,719000
11578,389000
5601,142500
19758,1425000
20038,495000
21153,820000
16672,275000
1421,368000
10949,2300000
21173,899900
4883,240000
12731,470000
1141,600000
10892,359950
3008,774000
12676,825000
21283,1040892
2052,417000
20055,350000
9745,712500
21109,352499
18263,383000
5002,260000
19899,357500
12787,275000
16429,855000
19982,570000
17276,325000
5637,585000
3227,230000
12175,482000
18490,525000
7437,550000
921,315000
12603,700000
11350,650000
10106,365000
13149,299000
1869,665000
5435,549000
10485,347000
4836,523500
21257,424950
5761,272000
7687,480680
4271,400000
11666,721000
1925,480680
12372,660000
13863,380000
12885,979700
18788,415000
859,257500
8641,615000
15864,277000
16237,215000
20831,484950
12499,410000
4719,398500
5045,199900
21118,847093
16125,665000
19287,290000
12637,750000
15018,255000
16958,200000
19504,560000
16318,551870
6700,535100
3094,612125
17354,625000
3610,500000
1312,600000
2908,650000
21371,346500
6038,581000
10536,1339000
14822,1950000
2779,245000
15242,250000
12726,453500
2858,1900000
4424,380000
832,275000
16317,530000
14321,725000
6089,155000
13958,500000
17898,340000
10350,718000
17970,623000
20458,1079000
8396,432000
9923,805000
15765,685000
12528,185000
15412,280000
2377,599999
8364,235000
9655,515000
8637,515000
8834,312000
17467,315000
21484,535000
14573,315000
11978,650000
2591,370000
8793,575000
1113,430000
7542,1015000
2573,325000
20598,447500
5453,521000
5680,1306000
8243,682000
20381,909500
16331,320000
21606,775000
10434,230000
15197,445000
1013,516130
15895,510000
2430,301000
1301,395000
8540,1013050
6907,567500
7947,270000
21060,660000
18805,532000
4124,340000
8488,200000
8985,449950
10048,240000
11218,380000
6880,902000
10598,280000
19470,280000
4360,835000
4796,595000
21028,215000
2093,565000
6487,580379
5215,415000
11174,312000
20843,883000
3195,359999
20212,235245
16537,180000
16691,410000
10611,481000
17495,245000
3498,583000
19448,315001
16613,750000
6735,520000
2131,438000
7632,530000
81,272500
2752,690000
10315,379900
6027,340000
9255,430000
2364,835000
11414,300000
16077,700500
10478,225000
19322,695000
419,1575000
2311,645000
945,410000
16213,525000
10610,481000
3085,292000
9258,740000
19635,1280000
10482,453000
3403,239000
21282,731500
12643,260000
6639,359000
7212,270000
5707,463000
10385,1169000
10634,440000
18535,1250000
20940,550000
8952,850000
19450,930800
11002,340000
10871,633000
12610,200000
10463,290000
21314,485000
7115,775000
4744,379950
10213,687500
3095,345000
1236,451000
19481,530000
11155,280000
1662,540000
20372,334500
17677,525000
9430,515000
16130,445000
10551,565000
12230,412000
4679,500000
4921,690000
9533,315000
20096,1575000
7471,295000
12750,397500
12784,805000
18139,590000
3908,576000
10244,915000
3345,505000
2032,305000
5082,394000
16542,315000
6064,385000
1436,350000
7127,2250000
3247,317500
5747,1445000
6612,550000
8543,505000
6482,440000
11683,404000
17725,550000
4429,328000
14069,165000
17252,800000
8440,750000
7562,429950
9086,352500
8720,350000
17807,248000
18951,280000
3505,461000
866,445000
12521,650000
18930,390000
11985,505000
17108,498500
9617,265000
3577,258000
4948,500000
19530,439990
10751,340000
11268,1185000
18698,270000
20158,250000
19818,355000
12981,350000
717,730000
470,210000
8516,830000
1468,461000
15522,975000
12756,715000
3830,425000
4502,564000
14345,325000
8002,411500
3272,648000
8369,530000
13498,622000
14456,1400000
10818,301350
10726,438500
14743,690000
18737,422000
4364,205000
2521,295000
